name,cpf,birthDate,motherName,cnpj,genre,createdAt
Ana Júlia Pereira,685.210.347-17,1974-06-23T11:12:46.006743,Heloísa Nogueira,,Feminino,2024-03-05T17:05:35.717755
Cecilia Ramos,368.724.019-31,1995-02-04T01:49:55.338902,Allana Farias,,Feminino,2024-06-30T03:02:46.277827
Ana Castro,524.681.907-85,1955-03-01T11:29:03.677666,Ana Beatriz Siqueira,,Feminino,2024-12-27T16:53:05.216640
Anthony Gabriel Nascimento,245.867.103-90,1993-07-29T01:21:43.373931,Emanuella da Luz,,Masculino,2024-10-25T07:30:16.073998
Renan Ferreira,231.497.560-06,1971-10-27T00:56:45.025230,Júlia Silveira,,Desconhecido,2025-03-07T15:57:48.529802
Bella da Luz,492.836.710-31,1965-03-20T05:22:24.335621,Emanuella Castro,,Desconhecido,2025-07-20T13:37:56.903767
Júlia Melo,035.961.748-48,2007-08-30T01:57:39.450747,Sophia Rocha,,Desconhecido,2025-02-08T13:17:58.377990
Valentim Mendonça,058.194.367-84,2003-09-19T12:24:13.592190,Luiza Cardoso,,Masculino,2024-05-25T08:14:38.426007
Luana Sousa,861.240.795-85,1997-10-05T00:08:36.631170,Raquel Vargas,,Desconhecido,2025-01-14T00:57:10.076049
Théo Costela,257.140.639-61,1979-10-14T12:34:10.531484,Sophie Lopes,,Desconhecido,2025-01-12T09:06:54.656009
Maria Luísa Pereira,729.453.016-52,1968-12-17T14:12:02.750335,Isabelly Nascimento,,Desconhecido,2024-02-07T17:04:35.594609
Rafael Lima,459.726.083-83,2002-09-25T03:44:01.682127,Evelyn Castro,,Masculino,2024-10-21T12:53:02.760678
Leandro Cunha,738.419.652-37,1962-12-15T21:32:27.979143,Ana Carolina Caldeira,,Masculino,2024-09-27T01:51:20.114849
Gabriela Leão,310.524.789-05,1989-03-11T06:42:52.402233,Ana Julia Sá,,Feminino,2023-11-22T04:34:26.598548
Hadassa Cavalcante,489.630.721-69,1955-03-29T02:57:02.601206,Maria Flor da Cruz,,Feminino,2025-08-15T21:27:39.921955
Valentim da Conceição,380.964.275-47,1989-11-14T20:16:34.542283,Allana da Cruz,,Desconhecido,2023-12-19T10:36:25.534572
Yasmin Abreu,794.560.823-00,1988-06-11T11:28:23.911346,Sophia Gomes,,Desconhecido,2024-12-19T11:19:27.823244
Fernando Sampaio,627.091.385-30,1977-07-20T08:02:05.832927,Ísis Machado,,Desconhecido,2024-07-08T00:28:01.355768
Francisco Novaes,753.260.418-71,1957-06-26T15:41:43.945595,Isabela Pimenta,,Desconhecido,2024-12-10T10:04:06.029007
Valentina da Cruz,689.407.351-10,1983-06-20T16:16:57.503127,Yasmin Viana,,Desconhecido,2025-05-29T00:30:06.277302
Maria Vitória Oliveira,635.804.792-29,1983-05-22T12:27:00.044487,Letícia Silveira,,Desconhecido,2023-11-08T13:52:25.979287
Zoe Rezende,150.274.896-76,2004-05-12T15:03:17.501463,Anna Liz Montenegro,,Feminino,2024-10-24T11:55:32.129206
Luiz Otávio Guerra,761.452.098-01,1991-04-13T23:57:07.779340,Sabrina Jesus,,Masculino,2023-11-02T12:23:38.579447
Nina Macedo,649.713.528-64,1997-10-28T20:24:24.900549,Lavínia Sousa,,Feminino,2025-08-12T23:09:56.220303
Léo Cirino,108.572.936-21,1969-05-25T16:54:49.061429,Bárbara Nascimento,,Masculino,2024-02-12T13:04:51.034958
Agatha Camargo,942.735.160-80,1952-01-09T18:19:37.512998,Maria Fernanda Cardoso,,Desconhecido,2024-08-12T20:32:11.827537
Felipe Sousa,152.637.490-07,2001-02-24T08:01:32.246260,Maria Cecília da Conceição,,Desconhecido,2024-06-26T12:05:56.032093
Isaque da Paz,631.527.480-35,1998-07-14T09:01:15.555050,Alexia Pereira,,Masculino,2023-12-08T17:40:39.590120
Vitor Gabriel da Mota,307.298.654-10,1967-07-05T00:59:12.371513,Maya Albuquerque,,Masculino,2025-07-09T22:15:40.915028
Maya Azevedo,452.160.938-42,1991-06-15T09:49:47.366794,Maria Luiza Aparecida,,Feminino,2025-06-01T02:03:20.762461
Pedro Henrique Garcia,079.361.428-78,1976-06-06T14:55:36.363183,Fernanda da Mota,,Masculino,2024-02-13T04:20:23.719854
Sara Sampaio,240.173.586-08,1947-07-15T09:07:47.717681,Alana da Conceição,,Desconhecido,2025-05-13T07:00:57.129125
Luiza Novaes,172.354.906-16,1987-06-05T08:50:05.943497,Maria Vitória Caldeira,,Feminino,2024-12-07T05:28:30.810214
João Guilherme Azevedo,290.631.578-86,1991-07-07T09:54:11.945198,Emanuella Lopes,,Masculino,2025-08-22T06:29:05.462359
Julia Araújo,085.497.316-84,1974-04-17T16:02:49.081113,Rafaela Ramos,,Feminino,2025-06-20T17:24:49.511520
Raul Ferreira,147.683.529-28,1967-01-08T06:36:27.026724,Lara Cavalcante,,Masculino,2024-01-11T16:18:56.966851
Nathan Sales,307.824.695-74,1960-05-14T12:10:22.108928,Maya Oliveira,,Masculino,2024-02-22T05:00:50.485493
Lavínia Viana,687.519.402-30,1986-03-07T08:57:06.721993,Eloah Nogueira,,Feminino,2025-07-30T23:06:13.575489
Henry da Mata,081.526.937-40,1982-03-07T16:54:26.294800,Ayla Sousa,,Masculino,2024-05-06T13:23:50.463398
Evelyn Jesus,980.416.257-11,1974-10-16T05:46:59.707323,Maria Laura Azevedo,,Desconhecido,2025-09-11T03:41:09.228660
João Felipe Guerra,876.230.915-30,1998-07-27T01:43:57.001727,Ayla Machado,,Masculino,2024-09-08T22:18:01.053345
Anthony Gonçalves,658.093.724-65,1989-09-02T12:32:24.109901,Bruna Silveira,,Masculino,2024-12-11T08:13:03.410450
Catarina Cavalcanti,501.974.362-34,1981-11-08T03:54:45.791131,Maria Cecília Câmara,,Feminino,2025-07-12T19:57:51.864574
João Vitor Leão,139.428.765-82,1958-08-31T14:35:17.865168,Bianca Rodrigues,,Desconhecido,2024-05-18T10:35:49.003915
Cecília da Costa,508.731.629-86,1998-08-27T19:14:36.252235,Alexia Pacheco,,Desconhecido,2025-07-22T19:08:57.496799
Rezende EIRELI,,,,68.304.172/0001-92,,2023-01-04T13:32:47.178367
Léo Caldeira,586.142.037-80,1952-08-21T01:41:15.272337,Evelyn Ferreira,,Masculino,2025-06-14T21:38:21.629580
Cauê da Conceição,580.312.947-04,1972-05-12T08:43:35.810273,Agatha Jesus,,Desconhecido,2024-02-01T11:18:59.821846
Jade da Conceição,243.968.570-47,2005-02-25T06:05:30.920179,Helena Moreira,,Feminino,2025-04-30T15:10:43.574786
Olivia Rocha,568.091.732-77,1995-03-29T19:19:37.137232,Ana Beatriz Aparecida,,Feminino,2024-01-12T23:56:00.008516
Yasmin Freitas,137.649.508-20,1960-05-18T06:12:32.037463,Sophia Cardoso,,Desconhecido,2025-07-31T04:55:42.360791
Ana Beatriz Gonçalves,389.721.056-86,1951-02-19T01:23:43.101134,Gabriela da Costa,,Desconhecido,2024-03-03T16:32:02.228086
Anna Liz Fernandes,875.319.042-41,1988-07-20T09:35:35.778408,Julia Vieira,,Feminino,2024-03-18T12:54:54.022148
Ravi Araújo,862.075.493-92,1950-01-03T03:23:26.638643,Eduarda da Paz,,Masculino,2025-04-22T01:43:48.232029
Theodoro Duarte,461.073.582-26,1986-09-20T15:12:54.196704,Lunna Teixeira,,Masculino,2025-04-23T18:24:57.705536
João Gabriel da Paz,158.320.764-35,1981-01-15T04:49:11.237603,Lorena Rodrigues,,Desconhecido,2025-06-25T15:48:23.938111
Luiz Fernando Montenegro,756.912.843-55,1975-01-28T23:11:20.974927,Bianca da Paz,,Masculino,2024-02-21T21:46:32.148346
Sabrina Gonçalves,832.056.914-15,1956-06-07T06:35:09.864219,Lunna Farias,,Feminino,2024-08-16T11:28:55.336159
Isabel Ramos,501.482.937-60,2002-01-20T10:49:53.970982,Ana Julia Barbosa,,Desconhecido,2025-06-24T13:17:38.798743
Sabrina Jesus,745.369.281-46,1962-04-08T17:13:50.604611,Luísa da Luz,,Desconhecido,2025-01-20T14:33:06.746706
João Gabriel da Rocha,450.637.291-34,1997-09-06T19:25:46.355546,Amanda Silveira,,Masculino,2024-10-19T09:16:32.247355
Maria Alice Mendes,126.378.490-96,1971-05-19T06:02:11.060121,Ana Julia Santos,,Desconhecido,2025-09-20T05:23:43.650740
Felipe Monteiro,834.107.925-97,1950-02-23T21:07:51.604804,Ana Júlia Nogueira,,Masculino,2024-03-04T06:22:45.043364
Vinícius Sampaio,537.812.940-05,1963-05-02T15:48:10.865582,Kamilly Barbosa,,Desconhecido,2024-03-22T19:59:18.944962
Pedro Lucas Santos,574.106.289-01,1959-07-21T13:26:11.361054,Clara Camargo,,Masculino,2025-07-22T08:58:49.694986
Diogo Cunha,613.290.475-16,1966-05-20T14:47:20.196043,Marcela Silva,,Masculino,2024-07-31T18:12:36.099480
Amanda Monteiro,648.023.917-22,2000-04-15T02:49:54.084767,Mirella Almeida,,Desconhecido,2025-01-12T06:56:43.841790
Sofia Monteiro,178.620.945-49,1979-05-07T18:09:41.943853,Jade Machado,,Feminino,2024-06-10T21:54:55.965406
Vinicius Novais,106.974.253-80,1998-08-06T01:54:07.391562,Nicole Dias,,Masculino,2024-03-06T08:17:42.968536
Ana Laura Mendonça,769.540.182-01,1993-04-11T01:52:30.554286,Ana Júlia Azevedo,,Feminino,2025-10-12T15:34:36.164770
Ana Vitória Fogaça,621.438.975-37,1991-12-03T00:33:13.743614,Maya Aparecida,,Feminino,2025-04-16T16:33:44.931478
Samuel Câmara,793.140.865-93,1965-06-17T16:45:44.291549,Cecília Costela,,Desconhecido,2024-07-02T08:05:43.548162
Raquel Brito,527.389.160-40,1966-07-20T13:19:39.434782,Isadora Novaes,,Feminino,2024-10-16T22:20:09.154265
Larissa Nogueira,645.390.281-89,1954-09-25T12:53:56.282905,Esther Gomes,,Feminino,2025-04-29T07:43:33.805177
Maria Liz Carvalho,540.381.796-48,1990-11-19T01:44:09.729630,Sara Pastor,,Desconhecido,2024-11-19T22:26:54.789163
Lívia Araújo,680.712.935-12,1954-03-27T02:10:48.800181,Alexia Nogueira,,Desconhecido,2023-11-30T22:22:19.577950
Jade da Luz,683.570.192-77,1973-10-12T12:19:28.677711,Daniela Machado,,Desconhecido,2024-05-03T17:23:45.532098
Cauê Castro,562.043.718-35,1949-12-28T02:05:27.263232,Pietra Pimenta,,Desconhecido,2025-02-21T10:08:15.334501
Ravi Lucca Casa Grande,425.916.073-70,1974-10-19T02:35:20.378251,Alícia Farias,,Desconhecido,2025-01-07T13:26:36.592482
Daniel Sá,213.759.486-28,1982-12-20T18:04:56.595722,Natália da Mata,,Desconhecido,2025-08-25T07:22:34.831484
Henry Gabriel Cardoso,043.968.271-13,1995-08-22T17:57:02.692582,Maria Cecília Nogueira,,Desconhecido,2024-05-27T02:40:53.282689
Agatha Andrade,986.570.421-85,1961-01-19T23:51:14.221132,Pietra Correia,,Desconhecido,2025-04-04T19:24:58.629064
Marcos Vinicius Souza,820.536.417-62,2003-04-18T07:27:25.611500,Marina Brito,,Masculino,2025-10-10T22:22:58.444973
Nathan Cirino,491.362.587-09,1959-08-04T07:12:26.828297,Laís Cardoso,,Masculino,2023-12-10T02:23:12.984920
Mirella Duarte,964.538.021-98,1957-10-30T00:02:52.108713,Gabriela Brito,,Feminino,2024-04-12T18:15:53.859587
Alice Nunes,059.436.217-25,2001-04-25T00:33:23.990196,Júlia Farias,,Desconhecido,2024-04-17T20:19:01.128182
Beatriz Pinto,803.716.945-66,1995-05-09T15:33:12.827625,Ayla Peixoto,,Desconhecido,2025-06-20T00:18:57.855318
Lorena Sales,206.397.514-07,1982-03-08T20:55:32.189265,Maria Isis Leão,,Feminino,2025-07-20T06:48:11.123832
Juliana Pimenta,036.984.512-98,1958-04-16T10:56:57.684853,Maria Luísa da Cruz,,Feminino,2023-10-27T01:46:34.161538
Luiz Otávio Souza,850.217.693-59,1949-02-06T09:54:03.474012,Laura Nogueira,,Desconhecido,2024-10-08T18:01:52.323000
Maria Eduarda Brito,890.527.143-04,2003-12-11T20:06:57.650823,Ana Beatriz Andrade,,Feminino,2024-09-10T14:07:56.572298
Natália Duarte,079.356.421-25,2003-05-22T01:41:58.451973,Anna Liz Mendes,,Desconhecido,2024-09-09T15:41:07.048146
Nicolas Mendonça,091.273.864-22,1950-07-12T17:40:52.296689,Ayla Cirino,,Masculino,2025-04-24T21:49:04.268459
Pedro Miguel Pereira,048.756.912-11,1985-07-04T06:14:10.115596,Manuela Araújo,,Desconhecido,2024-03-27T09:08:59.530927
Antonella Melo,623.798.105-59,1978-08-25T02:17:58.900888,Alice das Neves,,Feminino,2023-11-09T10:02:15.658607
Marcelo Pacheco,719.286.354-82,1967-10-12T11:14:01.885470,Marina Costa,,Masculino,2024-02-02T09:42:20.533476
João Pedro Ribeiro,689.135.740-39,1981-02-01T00:27:47.763527,Sabrina Rocha,,Masculino,2023-11-12T17:48:02.023923
Vitória Rodrigues,129.073.654-52,1966-04-10T22:44:34.560303,Maria Júlia Nascimento,,Feminino,2024-08-28T03:46:16.217047
Eloá da Conceição,529.780.631-30,1982-11-15T02:00:02.524025,Ana Cecília Marques,,Desconhecido,2024-05-15T09:58:51.875082
Calebe Souza,703.814.265-80,1965-09-01T18:06:49.243302,Ana Júlia Rios,,Masculino,2024-11-08T16:04:52.730300
Ana Júlia Gonçalves,814.672.035-80,1993-08-19T01:05:25.228467,Helena Montenegro,,Desconhecido,2024-04-06T00:50:34.269281
João Miguel Barros,852.049.137-50,1952-02-21T20:38:12.413948,Maria Alice da Cruz,,Desconhecido,2025-02-01T02:32:28.205632
Enzo Gabriel Moura,179.034.685-10,2000-08-18T10:11:40.789021,Ana Vitória da Cruz,,Desconhecido,2023-11-06T14:50:35.334769
Rael Silva,592.761.034-06,2003-06-14T14:24:01.181545,Cecília Barbosa,,Masculino,2024-02-17T17:43:01.452658
Otto Rios,084.275.691-49,1954-03-24T07:47:39.838988,Maria Luísa da Mota,,Masculino,2025-08-20T16:23:05.843735
Esther Souza,862.175.390-12,1966-10-07T16:16:50.837650,Ana Júlia da Rosa,,Feminino,2025-02-08T00:23:29.708844
Eloá das Neves,981.746.523-37,1962-08-10T00:52:19.851088,Allana Brito,,Feminino,2025-04-24T11:24:26.594866
Marcela Mendes,487.205.169-67,1975-12-26T03:46:07.451648,Stephany Sales,,Desconhecido,2023-12-19T15:37:13.298159
Henry Fernandes,394.182.657-37,1975-07-26T16:14:06.909026,Nina Almeida,,Masculino,2023-12-15T14:21:39.007118
Isadora Gomes,913.850.246-15,2003-07-26T04:47:44.846199,Cecília Porto,,Desconhecido,2025-06-21T10:29:03.860645
Olívia Araújo,526.743.091-99,2002-07-04T16:51:13.429597,Sabrina Costela,,Feminino,2024-03-21T03:34:23.663124
Ravi Santos,628.903.147-31,1983-01-09T19:09:49.830941,Mariah da Costa,,Masculino,2025-10-03T18:39:20.935528
Anna Liz da Luz,138.476.952-82,2005-01-07T12:46:12.852574,Pietra Camargo,,Feminino,2025-06-11T22:21:20.813935
Alice Câmara,178.906.542-94,1946-07-22T07:05:07.755410,Maria Julia Cardoso,,Feminino,2024-05-26T11:02:03.736970
Davi Sousa,837.096.125-86,1975-02-28T20:33:15.138337,Ayla Viana,,Desconhecido,2024-12-13T12:40:12.556657
Nina Gomes,749.832.165-37,1949-09-22T13:30:25.756737,Nina das Neves,,Feminino,2024-02-27T02:32:58.833111
Renan Pinto,460.893.721-96,2000-01-28T22:24:07.378106,Antonella Garcia,,Masculino,2024-12-07T00:51:14.532159
Ester Abreu,423.865.109-05,1971-02-23T15:09:18.939646,Clara Novais,,Feminino,2024-02-02T09:09:55.230895
Maria Eduarda Martins,271.534.086-90,1958-01-28T12:29:00.147485,Marina Vasconcelos,,Desconhecido,2025-02-21T19:29:15.633837
Asafe Pastor,498.271.365-00,1967-02-26T03:16:10.473892,Sabrina Martins,,Masculino,2024-03-04T19:17:56.028538
Gustavo Henrique Carvalho,175.239.640-52,1978-07-25T13:55:05.731016,Aurora Rios,,Masculino,2025-09-06T08:02:37.340850
Anna Liz Sales,059.374.681-39,1986-10-05T05:09:43.335942,Luana da Costa,,Feminino,2024-12-12T23:07:42.542595
Mathias da Mota,380.164.597-57,1958-07-27T17:39:31.021623,Sabrina Montenegro,,Masculino,2024-02-19T03:12:28.583378
Heitor Martins,905.827.136-68,1987-11-02T07:08:45.867796,Lívia Oliveira,,Masculino,2025-06-04T23:17:31.994285
Maitê Camargo,017.435.968-39,1967-06-22T18:26:23.260769,Zoe Jesus,,Desconhecido,2024-07-05T21:40:22.718940
Davi Lucas Pimenta,432.109.756-80,1954-12-08T08:16:53.869044,Ana Jesus,,Masculino,2025-05-17T07:03:33.420767
Olívia Mendonça,042.763.581-08,2001-08-18T03:01:39.677165,Brenda Campos,,Feminino,2025-09-12T08:18:35.396551
Miguel Nogueira,978.036.521-40,2005-02-03T08:38:39.347170,Elisa Fogaça,,Masculino,2025-04-16T01:11:55.603888
Bruno Barros,253.406.819-98,1966-03-08T09:39:34.979273,Larissa Casa Grande,,Desconhecido,2024-07-22T14:48:15.033362
Erick Pires,024.789.531-88,1950-12-12T07:45:11.581530,Maria Julia Oliveira,,Desconhecido,2024-11-02T05:25:18.231585
Vitória da Cruz,317.650.248-62,1947-10-19T11:20:25.193136,Luara Viana,,Feminino,2025-10-22T09:13:56.330431
Luara Pires,315.960.274-52,2003-09-09T20:53:58.212507,Ana Vitória da Cruz,,Desconhecido,2024-01-05T09:02:57.915884
Marcos Vinicius Fogaça,136.827.450-17,1959-08-03T21:47:17.204888,Isabelly Duarte,,Desconhecido,2024-07-21T21:37:10.820199
Gustavo Vieira,439.861.702-78,1991-04-03T23:35:01.877581,Ana Julia da Luz,,Desconhecido,2025-10-24T03:45:24.760558
José Pedro Cardoso,503.162.487-62,1975-03-15T19:26:20.127664,Ana Vitória Duarte,,Masculino,2025-02-09T02:50:02.462056
Manuella Vieira,014.237.856-90,1979-12-29T20:26:54.104382,Gabriela Rezende,,Feminino,2024-06-15T11:19:31.940600
Noah Alves,265.871.930-21,2002-03-05T23:20:16.014758,Camila Souza,,Masculino,2024-01-18T00:47:10.926351
Heitor Cassiano,758.432.609-92,1983-03-18T07:17:29.432632,Stella Ferreira,,Masculino,2024-11-01T09:28:39.549227
Kaique Freitas,938.560.712-02,1960-07-19T15:40:36.104303,Jade Silva,,Masculino,2025-06-19T03:46:30.628738
Maria Vasconcelos,264.953.018-98,2000-11-15T05:44:25.908127,Isabelly Pereira,,Desconhecido,2024-11-28T21:32:14.886892
Hadassa Barros,149.275.608-30,1950-01-02T12:03:42.205316,Ayla Camargo,,Feminino,2024-10-26T23:45:44.490335
Miguel Correia,953.106.824-06,1968-12-11T15:55:10.510370,Maria Isis Mendonça,,Masculino,2024-09-08T16:06:36.505279
Ana Luiza Moura,286.397.051-86,1997-01-06T19:18:15.670235,Maria Flor Sá,,Feminino,2024-12-09T23:25:53.422933
Caio Azevedo,216.748.509-30,1989-12-27T05:20:20.606152,Camila Guerra,,Desconhecido,2024-05-21T10:01:33.296528
Rafaela da Paz,478.061.359-01,2002-11-25T18:49:23.938847,Maria Macedo,,Feminino,2024-08-08T04:05:57.276470
Emanuella Barros,902.435.678-47,1966-08-18T09:11:25.072583,Ana Cecília Ribeiro,,Feminino,2024-08-13T20:31:38.376775
Paulo Barros,521.687.943-91,1977-01-06T15:50:05.489517,Ana Vitória Camargo,,Desconhecido,2024-11-12T05:17:34.370273
Alexia Siqueira,497.810.263-40,1952-12-08T23:33:42.706782,Isabela Albuquerque,,Feminino,2024-12-11T03:26:42.981433
Ayla Rezende,701.956.248-58,1999-03-13T06:27:04.989946,Bruna Barros,,Feminino,2024-12-14T16:13:16.317255
Matheus Aparecida,869.073.152-03,1987-09-06T12:20:07.016669,Bianca Souza,,Masculino,2025-05-09T01:59:24.883276
Isabelly da Cunha,143.568.709-48,1994-02-18T01:41:46.366979,Ana Beatriz da Cruz,,Feminino,2025-06-17T16:49:58.597278
Breno da Conceição,802.769.153-21,1987-12-20T01:45:26.831724,Júlia Duarte,,Masculino,2024-08-14T14:20:41.948148
Vitória Brito,984.213.065-70,1975-02-04T10:02:20.627498,Melissa Lima,,Feminino,2025-01-15T05:29:08.850239
Breno Carvalho,613.572.490-80,1991-02-13T22:36:14.933641,Carolina Sampaio,,Masculino,2024-04-13T07:13:04.909512
Emilly Santos,865.197.203-21,1955-11-24T17:30:29.852289,Bianca da Cunha,,Desconhecido,2024-12-12T01:00:58.146928
Caroline Sousa,506.978.341-66,1999-09-01T08:08:12.027368,Maria Eduarda Leão,,Feminino,2024-10-03T10:39:31.613136
Lucas Gabriel Farias,289.143.506-06,1966-10-01T03:41:33.475584,Beatriz Rocha,,Desconhecido,2025-02-22T05:18:12.312409
Pedro Henrique Sá,851.420.369-05,1948-08-23T07:18:11.924507,Maria Eduarda Melo,,Desconhecido,2024-10-19T22:00:59.491408
Ísis Lopes,563.204.978-74,1990-10-16T20:53:38.487287,Heloisa Almeida,,Feminino,2025-09-18T01:15:41.964877
Enzo Gabriel Campos,851.369.740-01,1965-12-09T16:07:24.635328,Maria Helena Brito,,Desconhecido,2025-06-20T12:47:11.127781
Francisco Abreu,904.873.256-56,1986-10-13T17:06:39.321288,Alice da Paz,,Masculino,2024-02-06T16:54:02.863940
Renan Borges,320.418.967-87,1953-08-31T04:27:07.913101,Maria Luísa Albuquerque,,Masculino,2025-09-23T01:36:15.652856
Maria Eduarda Pacheco,817.956.240-94,1999-06-24T16:45:44.697533,Anna Liz Costela,,Feminino,2025-09-22T19:56:59.312889
Milena Cardoso,391.846.250-15,1993-08-19T23:27:47.875219,Isadora da Paz,,Desconhecido,2025-01-31T02:06:20.642814
Clarice da Rocha,683.145.970-66,1949-08-24T15:05:26.268634,Stephany Abreu,,Desconhecido,2025-10-05T01:31:05.633149
Isaac Silveira,972.036.814-40,1979-05-28T15:24:32.296976,Heloísa Camargo,,Masculino,2023-11-19T16:55:39.713311
Ana Luiza Araújo,257.983.401-04,1999-06-03T02:18:35.505281,Marcela Oliveira,,Feminino,2025-07-09T05:44:39.082445
Luiz Felipe da Luz,651.427.093-06,1971-08-03T05:07:12.545879,Maria Fernanda Lima,,Desconhecido,2024-12-02T01:53:29.783303
Renan Costela,105.926.843-42,1976-03-24T23:00:12.297060,Juliana Pinto,,Desconhecido,2025-08-15T04:45:45.476409
Lucas Montenegro,790.168.354-66,1976-11-13T00:29:20.620098,Sabrina Oliveira,,Masculino,2024-10-24T19:18:52.589793
Vinicius Camargo,307.524.968-83,1989-01-31T20:37:23.725160,Olivia Montenegro,,Desconhecido,2024-10-23T17:36:59.911197
Alice Dias,839.102.674-40,1985-04-07T08:42:19.821947,Mariana Martins,,Feminino,2023-12-31T13:33:29.786578
Alexia Silveira,325.476.091-34,1961-10-28T18:00:43.786047,Maria Luísa Camargo,,Feminino,2024-12-26T09:45:47.612751
Catarina Rodrigues,792.348.501-14,2004-03-15T10:26:49.663932,Zoe Carvalho,,Feminino,2024-02-08T04:19:22.006042
Alana Fonseca,825.319.047-60,1949-03-28T10:49:43.980007,Gabrielly Porto,,Feminino,2024-11-06T08:19:57.440775
Valentina das Neves,192.756.380-12,1951-01-09T15:23:33.195538,Manuella Sá,,Desconhecido,2024-03-12T21:32:57.332185
Asafe Pereira,419.325.760-61,1963-04-17T16:11:44.480443,Marina Correia,,Masculino,2025-09-21T22:56:40.967934
Ribeiro Machado - ME,,,,84.560.723/0001-35,,2025-03-05T15:55:35.089316
Carolina Ramos,016.972.483-22,1988-10-01T01:40:43.038441,Emanuella das Neves,,Desconhecido,2024-05-25T19:18:54.273196
Maria Helena Ferreira,307.856.129-12,1946-12-23T06:31:56.227361,Ana Beatriz Aparecida,,Feminino,2025-04-19T09:37:29.099375
Eloah Campos,302.945.167-43,1999-09-08T15:38:26.485690,Natália Cunha,,Feminino,2025-07-24T22:33:23.534727
Ana Cecília Porto,430.197.285-41,1949-07-25T16:52:14.199351,Nina Nogueira,,Feminino,2023-11-06T09:42:53.125572
Lorena Melo,589.013.674-75,1947-02-04T14:27:40.158044,Elisa Borges,,Feminino,2023-11-24T06:17:51.873605
Benício Jesus,586.032.941-51,1961-09-21T13:25:53.511718,Isabel Cunha,,Desconhecido,2024-09-25T19:36:19.996080
Vitória Costela,978.210.365-95,1994-08-26T18:57:25.365642,Sophia da Rocha,,Feminino,2024-09-27T14:42:44.459213
Anna Liz Cassiano,137.486.925-28,1947-12-10T12:39:20.721556,Bianca Rodrigues,,Feminino,2024-06-26T00:48:08.863425
Enzo Gabriel Pereira,594.028.736-00,1996-10-24T21:43:00.892041,Zoe da Cruz,,Desconhecido,2025-03-23T07:48:51.915667
Enzo da Conceição,293.041.856-70,1950-10-02T03:47:21.251583,Eloah Carvalho,,Masculino,2025-10-06T19:02:29.495415
Maria Eduarda Macedo,219.865.470-94,1949-12-03T06:40:11.308071,Isadora Farias,,Desconhecido,2023-12-28T00:49:27.166346
Vicente Freitas,714.089.653-48,1968-11-07T11:43:54.883307,Stella Campos,,Masculino,2023-12-20T08:10:18.787994
Rodrigo Correia,875.643.102-35,1951-03-05T09:36:48.948657,Ester das Neves,,Masculino,2025-06-02T04:10:19.755812
Mateus Alves,034.512.867-26,1969-11-07T08:44:01.906529,Heloisa da Mota,,Masculino,2024-06-12T22:52:14.097846
Eduarda da Paz,960.157.243-07,1948-07-25T01:54:47.168733,Joana Novaes,,Feminino,2024-02-12T14:41:55.299480
Pedro Lucas Costela,245.981.370-88,1951-09-08T07:20:31.233758,Ana Júlia Siqueira,,Masculino,2024-07-21T01:06:57.697391
Guilherme Lopes,689.470.215-20,1983-02-28T19:12:13.268326,Hadassa Pacheco,,Masculino,2024-09-30T13:29:22.633277
Diego Pinto,092.863.517-12,1989-02-07T03:02:52.719221,Lorena da Mata,,Masculino,2024-07-02T13:04:48.308857
Ágatha Brito,427.915.068-02,1947-03-17T05:41:06.129255,Luiza da Luz,,Feminino,2025-03-18T07:30:24.208455
Théo Pires,605.821.347-90,1982-05-06T13:00:28.452983,Zoe Moura,,Masculino,2025-08-25T23:56:01.210342
Isabel Silva,645.317.920-25,2003-11-14T16:30:54.927344,Heloísa Silva,,Feminino,2024-03-14T12:56:38.247144
João Pedro Casa Grande,120.437.958-05,2004-11-15T17:13:44.107406,Helena Souza,,Masculino,2025-02-06T21:17:16.594610
Matheus Teixeira,508.619.742-20,1982-10-09T04:40:02.522417,Stephany Sales,,Masculino,2024-02-26T00:45:23.212260
Vitória da Costa,697.581.230-68,1953-12-18T22:01:15.565375,Ayla Mendonça,,Desconhecido,2023-12-14T09:56:29.223796
Mirella Sá,056.419.283-05,1995-09-11T03:54:10.079578,Eloá Pinto,,Desconhecido,2025-04-11T19:13:00.322334
Ana Pinto,268.049.357-56,1961-01-01T03:01:37.615753,Melissa Albuquerque,,Desconhecido,2024-10-05T11:21:00.176815
Laís Rios,753.109.624-25,1979-08-25T17:02:56.010308,Maria Fernanda da Paz,,Feminino,2024-10-17T16:17:59.964544
Isaac Viana,876.130.295-30,1981-12-09T07:39:46.621100,Heloisa Monteiro,,Desconhecido,2024-08-19T07:45:56.768222
Ana Carolina Barros,284.073.561-07,1960-09-12T10:13:57.242318,Nina Câmara,,Desconhecido,2025-09-02T14:58:12.316538
Benjamin Barros,480.675.931-75,1995-05-29T08:59:16.258855,Isabella Cunha,,Masculino,2025-02-11T01:06:02.514778
Anna Liz Teixeira,043.952.687-65,1988-07-15T19:21:59.727811,Ana Clara Fogaça,,Feminino,2024-05-07T06:12:14.499138
Lívia Porto,471.398.056-01,2000-04-24T07:47:21.885239,Luísa Ferreira,,Feminino,2024-09-17T23:02:41.971850
Emanuella da Paz,267.418.590-20,1960-03-30T00:54:29.538035,Maria Luísa Sá,,Feminino,2024-03-23T05:29:11.220509
